"YEAR","STATE","METRIC","TOTAL FINES","TOTAL ARRESTS","TOTAL CHARGES"
2023,"SA","non_wearing_seatbelts",2884,0,0
2023,"SA","speed_fines",203602,102,282
2023,"SA","unlicensed_driving",7059,1509,4479
2023,"TAS","mobile_phone_use",2428,0,37
2023,"TAS","non_wearing_seatbelts",2070,0,50
2023,"TAS","speed_fines",65040,0,361
2023,"TAS","unlicensed_driving",234,0,1567
2023,"VIC","mobile_phone_use",49546,0,0
2023,"VIC","non_wearing_seatbelts",30400,0,0
2023,"VIC","speed_fines",1302628,0,0
2023,"VIC","unlicensed_driving",9285,0,0
2023,"WA","mobile_phone_use",3592,7,157
2023,"WA","non_wearing_seatbelts",1774,19,347
2023,"WA","speed_fines",807487,13,1557
2023,"WA","unlicensed_driving",2060,2097,15332
2024,"ACT","mobile_phone_use",27125,2,13
2024,"ACT","non_wearing_seatbelts",59,1,7
2024,"ACT","speed_fines",68846,10,84
2024,"ACT","unlicensed_driving",299,219,720
2024,"NSW","mobile_phone_use",161997,0,208
2024,"NSW","non_wearing_seatbelts",80970,0,236
2024,"NSW","speed_fines",905672,0,1539
2024,"NSW","unlicensed_driving",9355,0,30365
2024,"NT","mobile_phone_use",244,1,11
2024,"NT","non_wearing_seatbelts",984,60,865
2024,"NT","speed_fines",48055,41,292
2024,"NT","unlicensed_driving",431,666,2537
2024,"QLD","mobile_phone_use",75334,0,0
2024,"QLD","non_wearing_seatbelts",39530,0,0
2024,"QLD","speed_fines",794883,0,0
2024,"QLD","unlicensed_driving",25135,0,0
2024,"SA","mobile_phone_use",4605,0,0
2024,"SA","non_wearing_seatbelts",2522,0,0
2024,"SA","speed_fines",184581,93,346
2024,"SA","unlicensed_driving",6618,1343,4415
2024,"TAS","mobile_phone_use",2815,0,32
2024,"TAS","non_wearing_seatbelts",4105,2,79
2024,"TAS","speed_fines",74993,0,398
2024,"TAS","unlicensed_driving",253,17,1692
2024,"VIC","mobile_phone_use",55075,0,0
2024,"VIC","non_wearing_seatbelts",53204,0,0
2024,"VIC","speed_fines",773470,0,0
2024,"VIC","unlicensed_driving",7090,0,0
2024,"WA","mobile_phone_use",3731,4,203
2024,"WA","non_wearing_seatbelts",1941,23,383
2024,"WA","speed_fines",472833,23,1685
2024,"WA","unlicensed_driving",1969,2106,16773
